Date,MSCI Emerging Markets
1987-12,10000
1988-01,11100.47162
1988-02,11461.29186
1988-03,12521.24278
1988-04,13112.04074
1988-05,13639.02403
1988-06,14627.42143
1988-07,14975.04101
1988-08,14901.70017
1988-09,15753.07363
1988-10,15265.13757
1988-11,14598.68405
1988-12,15003.06702
1989-01,15401.73524
1989-02,16786.34296
1989-03,18582.71091
1989-04,22232.78769
1989-05,23500.91333
1989-06,21022.22511
1989-07,21428.55761
1989-08,22265.66281
1989-09,25457.01083
1989-10,24842.33739
1989-11,23345.78188
1989-12,25118.13578
1990-01,25185.05979
1990-02,25826.91475
1990-03,22724.3561
1990-04,24052.30335
1990-05,25603.59186
1990-06,26667.84517
1990-07,28143.65046
1990-08,23473.03587
1990-09,20509.82507
1990-10,19539.27019
1990-11,18153.44045
1990-12,19144.44134
1991-01,20743.68682
1991-02,23416.59452
1991-03,26535.33093
1991-04,28244.27518
1991-05,30867.90813
1991-06,30875.51851
1991-07,32518.5708
1991-08,32473.22538
1991-09,30366.88231
1991-10,31564.32884
1991-11,29932.29191
1991-12,32238.12276
1992-01,36223.65491
1992-02,38668.3047
1992-03,41045.35217
1992-04,40392.63991
1992-05,39478.46112
1992-06,34544.52682
1992-07,33258.98394
1992-08,30908.60506
1992-09,31731.27442
1992-10,34819.05531
1992-11,36700.48913
1992-12,37754.88434
1993-01,38678.3822
1993-02,40306.8375
1993-03,41844.7653
1993-04,41350.57873
1993-05,42607.48548
1993-06,45151.18889
1993-07,48309.35912
1993-08,52788.82278
1993-09,52544.05892
1993-10,57930.6346
1993-11,62118.89202
1993-12,72354.82534
1994-01,74670.19041
1994-02,73059.72935
1994-03,65074.81624
1994-04,63958.06542
1994-05,64725.34054
1994-06,61919.19834
1994-07,63742.24313
1994-08,71735.80222
1994-09,71773.59484
1994-10,69131.97205
1994-11,66512.03784
1994-12,62421.07793
1995-01,54639.94951
1995-02,52655.84583
1995-03,50931.32967
1995-04,52198.03594
1995-05,55824.32988
1995-06,55522.3044
1995-07,56108.94971
1995-08,56446.10546
1995-09,56898.94907
1995-10,53869.59336
1995-11,53023.25821
1995-12,56251.916
1996-01,60981.89733
1996-02,60357.15625
1996-03,60788.45149
1996-04,63757.96071
1996-05,64243.23405
1996-06,64143.07387
1996-07,58851.26749
1996-08,59810.47521
1996-09,60851.49218
1996-10,59412.83632
1996-11,59633.0212
1996-12,61228.5559
1997-01,67183.88973
1997-02,73113.50413
1997-03,72019.34976
1997-04,72539.08831
1997-05,74386.72331
1997-06,79248.13774
1997-07,82669.00311
1997-08,74207.37301
1997-09,74263.34256
1997-10,60950.89201
1997-11,57518.35308
1997-12,60493.72219
1998-01,57031.48137
1998-02,62845.41201
1998-03,65814.32496
1998-04,64656.53191
1998-05,54946.14041
1998-06,49539.67484
1998-07,51231.3137
1998-08,36269.79268
1998-09,36771.15748
1998-10,39141.80468
1998-11,43623.96356
1998-12,42717.47567
1999-01,43401.64158
1999-02,45279.56771
1999-03,52563.6935
1999-04,59875.14089
1999-05,60329.54248
1999-06,68009.00141
1999-07,63897.13858
1999-08,65216.39177
1999-09,62465.79173
1999-10,65089.71614
1999-11,73426.6616
1999-12,83185.24963
2000-01,85860.44655
2000-02,87683.98721
2000-03,89596.89007
2000-04,85281.6922
2000-05,79840.1702
2000-06,80464.26473
2000-07,78910.689
2000-08,82299.30856
2000-09,76321.59402
2000-10,73714.77427
2000-11,65201.32331
2000-12,62319.01212
2001-01,70991.89482
2001-02,65751.54135
2001-03,62086.26644
2001-04,64831.07819
2001-05,68668.54259
2001-06,67258.99443
2001-07,61029.71445
2001-08,57768.59129
2001-09,48971.57591
2001-10,52522.63676
2001-11,58944.91457
2001-12,64237.32098
2002-01,67767.53956
2002-02,68769.39242
2002-03,72295.9108
2002-04,70471.03628
2002-05,66548.28514
2002-06,57927.15771
2002-07,54571.81398
2002-08,55130.92867
2002-09,49048.11037
2002-10,52209.55219
2002-11,55449.1728
2002-12,50744.26549
2003-01,48986.51672
2003-02,47814.67997
2003-03,45977.05173
2003-04,49010.6893
2003-05,49457.95884
2003-06,54083.86264
2003-07,58024.48208
2003-08,64134.71509
2003-09,60585.09748
2003-10,65910.44187
2003-11,64651.03102
2003-12,65846.38646
2004-01,69539.37035
2004-02,72548.03753
2004-03,74646.38491
2004-04,70132.73225
2004-05,67336.74953
2004-06,67883.63487
2004-07,67325.81774
2004-08,69727.08199
2004-09,71983.09836
2004-10,71809.48787
2004-11,75167.80572
2004-12,76900.85052
2005-01,80612.33855
2005-02,86222.35343
2005-03,82362.27399
2005-04,80210.36305
2005-05,87249.79692
2005-06,92045.60622
2005-07,98550.41513
2005-08,98581.58972
2005-09,109170.1205
2005-10,102198.7054
2005-11,113048.7437
2005-12,119461.29
2006-01,129357.546
2006-02,131878.2298
2006-03,130542.9879
2006-04,135028.4853
2006-05,117799.221
2006-06,118982.6366
2006-07,120221.7221
2006-08,122538.6931
2006-09,125433.0249
2006-10,131024.8144
2006-11,135407.5781
2006-12,141840.0023
2007-01,142748.5295
2007-02,139160.763
2007-03,143572.4474
2007-04,147231.6385
2007-05,156166.99
2007-06,162924.0214
2007-07,169075.8851
2007-08,165562.2399
2007-09,177713.7791
2007-10,193881.7554
2007-11,176314.5146
2007-12,177428.4035
2008-01,153781.841
2008-02,161954.0132
2008-03,147140.7632
2008-04,161890.4229
2008-05,165281.1659
2008-06,146398.5281
2008-07,142373.9953
2008-08,138839.2414
2008-09,118016.8856
2008-10,96125.56494
2008-11,89105.85484
2008-12,87864.60427
2009-01,89290.08371
2009-02,85414.29984
2009-03,92826.04707
2009-04,108556.6404
2009-05,119744.9151
2009-06,117854.722
2009-07,131154.3512
2009-08,129492.7478
2009-09,137688.7936
2009-10,136409.265
2009-11,140163.7497
2009-12,151957.1831
2010-01,148028.0613
2010-02,152915.9901
2010-03,166389.2569
2010-04,170516.9979
2010-05,168336.1404
2010-06,167619.0439
2010-07,171138.7452
2010-08,172479.9079
2010-09,178076.4005
2010-10,180498.5299
2010-11,187355.233
2010-12,195278.2478
2011-01,185437.568
2011-02,181849.7065
2011-03,187514.2525
2011-04,184874.2588
2011-05,186045.556
2011-06,182399.5346
2011-07,184172.9358
2011-08,165575.8824
2011-09,151384.9665
2011-10,165353.6438
2011-11,161048.4143
2011-12,165013.4802
2012-01,180456.9307
2012-02,187500.1249
2012-03,182442.9011
2012-04,182250.9252
2012-05,172493.7208
2012-06,176570.0364
2012-07,184628.906
2012-08,179321.7595
2012-09,185485.9139
